country_name,country_code,eu_member,year,generation_twh,net_import_twh,demand_twh,demand_mwh_per_capita
Albania,ALB,0,1990,3.3,0.21,3.51,1.068
Albania,ALB,0,1991,3.82,-1.17,2.65,0.808
Albania,ALB,0,1992,3.4,-0.51,2.89,0.89
Albania,ALB,0,1993,3.53,-0.14,3.39,1.061
Albania,ALB,0,1994,3.94,-0.19,3.75,1.192
Albania,ALB,0,1995,4.47,-0.07,4.4,1.413
Albania,ALB,0,1996,5.99,-0.23,5.76,1.859
Albania,ALB,0,1997,5.23,-0.13,5.1,1.645
Albania,ALB,0,1998,5.11,0.38,5.49,1.765
Albania,ALB,0,1999,5.42,0.36,5.78,1.851
Albania,ALB,0,2000,4.77,1,5.77,1.844
Albania,ALB,0,2001,3.73,1.75,5.48,1.751
Albania,ALB,0,2002,3.74,2.11,5.85,1.871
Albania,ALB,0,2003,5,0.92,5.92,1.899
Albania,ALB,0,2004,5.61,0.48,6.09,1.961
Albania,ALB,0,2005,5.44,0.37,5.81,1.882
Albania,ALB,0,2006,5.52,0.61,6.13,2.001
Albania,ALB,0,2007,2.86,2.83,5.69,1.875
Albania,ALB,0,2008,3.8,2.43,6.23,2.075
Albania,ALB,0,2009,5.2,1.4,6.6,2.22
Albania,ALB,0,2010,7.57,-0.95,6.62,2.246
Albania,ALB,0,2011,4.19,3.26,7.45,2.544
Albania,ALB,0,2012,4.72,2.54,7.26,2.491
Albania,ALB,0,2013,6.96,2.32,9.28,3.196
Albania,ALB,0,2014,4.72,3.07,7.79,2.69
Albania,ALB,0,2015,5.89,1.4,7.29,2.522
Albania,ALB,0,2016,7.78,-0.04,7.74,2.682
Albania,ALB,0,2017,4.52,2.91,7.43,2.576
Albania,ALB,0,2018,8.55,-0.91,7.64,2.65
Albania,ALB,0,2019,5.2,2.41,7.61,2.642
Austria,AUT,1,1990,49.3,-0.46,48.84,6.323
Austria,AUT,1,1991,50.18,0.77,50.95,6.555
Austria,AUT,1,1992,49.95,0.55,50.5,6.449
Austria,AUT,1,1993,51.37,-0.73,50.64,6.417
Austria,AUT,1,1994,52.11,-0.82,51.29,6.454
Austria,AUT,1,1995,55.18,-2.47,52.71,6.597
Austria,AUT,1,1996,53.57,0.95,54.52,6.8
Austria,AUT,1,1997,55.68,-0.77,54.91,6.836
Austria,AUT,1,1998,55.92,-0.16,55.76,6.934
Austria,AUT,1,1999,59.92,-1.9,58.02,7.206
Austria,AUT,1,2000,59.85,-1.37,58.48,7.247
Austria,AUT,1,2001,61.06,0.22,61.28,7.568
Austria,AUT,1,2002,60.69,0.7,61.39,7.547
Austria,AUT,1,2003,58.06,5.61,63.67,7.788
Austria,AUT,1,2004,61.93,3.08,65.01,7.912
Austria,AUT,1,2005,64.49,2.62,67.11,8.131
Austria,AUT,1,2006,62.28,6.34,68.62,8.282
Austria,AUT,1,2007,62.91,6.02,68.93,8.291
Austria,AUT,1,2008,64.5,4.86,69.36,8.315
Austria,AUT,1,2009,66.3,0.78,67.08,8.012
Austria,AUT,1,2010,67.91,2.44,70.35,8.365
Austria,AUT,1,2011,62.26,8.2,70.46,8.335
Austria,AUT,1,2012,68.7,2.8,71.5,8.41
Austria,AUT,1,2013,64.59,7.27,71.86,8.399
Austria,AUT,1,2014,61.62,9.27,70.89,8.228
Austria,AUT,1,2015,61.85,10.06,71.91,8.286
Austria,AUT,1,2016,65.25,7.16,72.41,8.278
Austria,AUT,1,2017,67.42,6.55,73.97,8.387
Austria,AUT,1,2018,65.04,8.95,73.99,8.322
Austria,AUT,1,2019,70.86,3.13,73.99,8.262
Austria,AUT,1,2020,69.14,2.2,71.34,7.921
Austria,AUT,1,2021,65.93,7.13,73.06,8.112
Belgium,BEL,1,1990,70.29,-3.72,66.57,6.653
