country_name,country_code,year,emissions_intensity_gco2_kwh,emissions_mtc02e
Austria,AUT,2000,156,10
Austria,AUT,2001,163,10
Austria,AUT,2002,152,9
Austria,AUT,2003,204,12
Austria,AUT,2004,185,12
Austria,AUT,2005,179,12
Austria,AUT,2006,174,11
Austria,AUT,2007,160,10
Austria,AUT,2008,146,10
Austria,AUT,2009,131,9
Austria,AUT,2010,153,11
Austria,AUT,2011,160,11
Austria,AUT,2012,116,8
Austria,AUT,2013,106,7
Austria,AUT,2014,92,6
Austria,AUT,2015,107,7
Austria,AUT,2016,94,6
Austria,AUT,2017,103,7
Austria,AUT,2018,100,7
Austria,AUT,2019,92,7
Austria,AUT,2020,80,6
Austria,AUT,2021,82,6
Belgium,BEL,2000,269,23
Belgium,BEL,2001,257,21
Belgium,BEL,2002,263,22
Belgium,BEL,2003,178,15
Belgium,BEL,2004,0,0
Belgium,BEL,2005,228,20
Belgium,BEL,2006,147,13
Belgium,BEL,2007,244,22
Belgium,BEL,2008,241,20
Belgium,BEL,2009,214,20
Belgium,BEL,2010,161,15
Belgium,BEL,2011,190,17
Belgium,BEL,2012,149,12
Belgium,BEL,2013,75,6
Belgium,BEL,2014,169,12
Belgium,BEL,2015,136,9
Belgium,BEL,2016,170,15
Belgium,BEL,2017,179,16
Belgium,BEL,2018,207,16
Belgium,BEL,2019,174,16
Belgium,BEL,2020,182,16
Belgium,BEL,2021,140,14
Bulgaria,BGR,2000,485,20
Bulgaria,BGR,2001,532,23
Bulgaria,BGR,2002,491,21
Bulgaria,BGR,2003,533,23
Bulgaria,BGR,2004,540,22
Bulgaria,BGR,2005,497,22
Bulgaria,BGR,2006,485,22
Bulgaria,BGR,2007,608,26
Bulgaria,BGR,2008,572,26
Bulgaria,BGR,2009,533,23
Bulgaria,BGR,2010,534,25
Bulgaria,BGR,2011,587,30
Bulgaria,BGR,2012,528,25
Bulgaria,BGR,2013,485,21
Bulgaria,BGR,2014,479,23
Bulgaria,BGR,2015,487,24
Bulgaria,BGR,2016,467,21
Bulgaria,BGR,2017,499,23
Bulgaria,BGR,2018,427,20
Bulgaria,BGR,2019,427,19
Bulgaria,BGR,2020,364,15
Bulgaria,BGR,2021,413,20
Croatia,HRV,2000,278,3
Croatia,HRV,2001,296,4
Croatia,HRV,2002,353,5
Croatia,HRV,2003,384,5
Croatia,HRV,2004,279,4
Croatia,HRV,2005,294,4
Croatia,HRV,2006,304,4
Croatia,HRV,2007,389,5
Croatia,HRV,2008,336,4
Croatia,HRV,2009,263,4
Croatia,HRV,2010,204,3
Croatia,HRV,2011,295,3
Croatia,HRV,2012,280,3
Croatia,HRV,2013,198,3
Croatia,HRV,2014,168,2
