year,source_country_code,target_country_code,net_flow_twh
2015,ALB,GRC,-0.47
2015,ALB,MNE,-1.14
2015,AUT,CHE,6.74
2015,AUT,CZE,-12.27
2015,AUT,DEU,-14.29
2015,AUT,HUN,2.11
2015,AUT,SVN,4.52
2015,BEL,FRA,-8.27
2015,BEL,NLD,-12.39
2015,BGR,GRC,3.51
2015,BGR,MKD,2.33
2015,BGR,ROU,-3.92
2015,BGR,SRB,2.15
2015,BGR,TUR,3.45
2015,BIH,HRV,2.85
2015,BIH,MNE,1.06
2015,BIH,SRB,-1.77
2015,BLR,LTU,2.01
2015,CHE,AUT,-6.74
2015,CHE,DEU,-11.18
2015,CHE,FRA,-5.21
2015,CZE,AUT,12.27
2015,CZE,DEU,-0.19
2015,CZE,POL,-9.06
2015,CZE,SVK,9.93
2015,DEU,AUT,14.29
2015,DEU,CHE,11.18
2015,DEU,CZE,0.19
2015,DEU,DNK,-2.37
2015,DEU,FRA,-10.68
2015,DEU,NLD,23.65
2015,DEU,POL,10.64
2015,DEU,SWE,-1.76
2015,DNK,DEU,2.37
2015,DNK,NOR,-4.86
2015,DNK,SWE,-3.63
2015,EST,FIN,-4.93
2015,EST,LVA,3.7
2015,EST,RUS,2.16
2015,FIN,EST,4.93
2015,FIN,NOR,-0.1
2015,FIN,RUS,-3.9
2015,FIN,SWE,-17.03
2015,FRA,BEL,8.27
2015,FRA,CHE,5.21
2015,FRA,DEU,10.68
2015,FRA,GBR,14.13
2015,GBR,FRA,-14.13
2015,GBR,IRL,1.07
2015,GBR,NLD,-8.2
2015,GRC,ALB,0.47
2015,GRC,BGR,-3.51
2015,GRC,MKD,-2.6
2015,GRC,TUR,-2.77
2015,HRV,BIH,-2.85
2015,HRV,HUN,-4.84
2015,HRV,SRB,-1.46
2015,HRV,SVN,1.53
2015,HUN,AUT,-2.11
2015,HUN,HRV,4.84
2015,HUN,ROU,-1.12
2015,HUN,SRB,0.06
2015,HUN,SVK,-9.87
2015,HUN,UKR,-5.6
2015,IRL,GBR,-1.07
2015,LTU,BLR,-2.01
2015,LTU,LVA,-3.24
2015,LTU,POL,-0.05
2015,LTU,RUS,-1.81
2015,LVA,EST,-3.7
2015,LVA,LTU,3.24
2015,LVA,RUS,-1.3
2015,MKD,BGR,-2.33
2015,MKD,GRC,2.6
2015,MKD,SRB,-1.46
2015,MNE,ALB,1.14
2015,MNE,BIH,-1.06
2015,MNE,SRB,-0.64
2015,NLD,BEL,12.39
2015,NLD,DEU,-23.65
2015,NLD,GBR,8.2
2015,NLD,NOR,-5.79
2015,NOR,DNK,4.86
2015,NOR,FIN,0.1
2015,NOR,NLD,5.79
2015,NOR,SWE,3.41
2015,POL,CZE,9.06
2015,POL,DEU,-10.64
2015,POL,LTU,0.05
2015,POL,SVK,4.88
2015,POL,SWE,-3.5
2015,POL,UKR,-0.07
2015,ROU,BGR,3.92
2015,ROU,HUN,1.12
2015,ROU,SRB,2.3
2015,RUS,EST,-2.16
2015,RUS,FIN,3.9
2015,RUS,LTU,1.81
2015,RUS,LVA,1.3
2015,SRB,BGR,-2.15
2015,SRB,BIH,1.77
2015,SRB,HRV,1.46
2015,SRB,HUN,-0.06
2015,SRB,MKD,1.46
2015,SRB,MNE,0.64
2015,SRB,ROU,-2.3
2015,SVK,CZE,-9.93
2015,SVK,HUN,9.87
2015,SVK,POL,-4.88
2015,SVK,UKR,2.7
2015,SVN,AUT,-4.52
2015,SVN,HRV,-1.53
2015,SWE,DEU,1.76
2015,SWE,DNK,3.63
2015,SWE,FIN,17.03
2015,SWE,NOR,-3.41
2015,SWE,POL,3.5
2015,TUR,BGR,-3.45
2015,TUR,GRC,2.77
2015,UKR,HUN,5.6
2015,UKR,POL,0.07
2015,UKR,SVK,-2.7
2016,ALB,GRC,0.34
2016,ALB,MNE,-0.89
2016,AUT,CHE,6.48
2016,AUT,CZE,-10.1
2016,AUT,DEU,-12.44
2016,AUT,HUN,2.69
2016,AUT,ITA,1.38
2016,AUT,SVN,3.34
2016,BEL,FRA,0.52
2016,BEL,NLD,-6.94
2016,BGR,GRC,2.48
2016,BGR,MKD,2.15
2016,BGR,ROU,-4.1
2016,BGR,SRB,1.13
2016,BGR,TUR,4.59
2016,BIH,HRV,3.43
2016,BIH,MNE,1.11
2016,BIH,SRB,-0.79
2016,BLR,LTU,1.05
2016,CHE,AUT,-6.48
2016,CHE,DEU,-14.55
2016,CHE,FRA,-2.97
2016,CHE,ITA,19.65
2016,CZE,AUT,10.1
2016,CZE,DEU,-1.35
2016,CZE,POL,-6.71
2016,CZE,SVK,8.91
2016,DEU,AUT,12.44
2016,DEU,CHE,14.55
2016,DEU,CZE,1.35
2016,DEU,DNK,2.45
2016,DEU,FRA,-5.54
2016,DEU,NLD,15.59
2016,DEU,POL,8.81
2016,DEU,SWE,-0.66
2016,DNK,DEU,-2.45
2016,DNK,NOR,-4.87
2016,DNK,SWE,2.06
2016,EST,FIN,-2.39
2016,EST,LVA,2.91
2016,EST,RUS,1.47
2016,FIN,EST,2.39
2016,FIN,NOR,-0.14
2016,FIN,RUS,-5.84
2016,FIN,SWE,-15.03
2016,FRA,BEL,-0.52
2016,FRA,CHE,2.97
2016,FRA,DEU,5.54
2016,FRA,GBR,10.08
2016,FRA,ITA,12.96
2016,GBR,FRA,-10.08
2016,GBR,IRL,-0.28
2016,GBR,NLD,-7.59
2016,GRC,ALB,-0.34
2016,GRC,BGR,-2.48
2016,GRC,ITA,-1.73
2016,GRC,MKD,-2.82
2016,GRC,TUR,-1.37
2016,HRV,BIH,-3.43
2016,HRV,HUN,-3.42
2016,HRV,SRB,-1.34
2016,HRV,SVN,1.9
2016,HUN,AUT,-2.69
2016,HUN,HRV,3.42
2016,HUN,ROU,-0.39
2016,HUN,SRB,-0.48
2016,HUN,SVK,-8.37
2016,HUN,UKR,-4.37
2016,IRL,GBR,0.28
