"Airports";"Periods";"Aircraft movements/Cross-country flights (number)";"Aircraft movements/Local flights (number)";"Commercial air traffic/Flights/Arrivals/Total arrivals flights (number)";"Commercial air traffic/Flights/Arrivals/Scheduled (number)";"Commercial air traffic/Flights/Arrivals/Non-scheduled (number)";"Commercial air traffic/Flights/Departures/Total departures flights (number)";"Commercial air traffic/Flights/Departures/Scheduled (number)";"Commercial air traffic/Flights/Departures/Non-scheduled (number)";"Commercial air traffic/Passengers/Passenger arrivals/Total arrivals passengers (number)";"Commercial air traffic/Passengers/Passenger arrivals/Scheduled (number)";"Commercial air traffic/Passengers/Passenger arrivals/Non-scheduled (number)";"Commercial air traffic/Passengers/Passenger departures/Total departures passengers (number)";"Commercial air traffic/Passengers/Passenger departures/Scheduled (number)";"Commercial air traffic/Passengers/Passenger departures/Non-scheduled (number)";"Commercial air traffic/Passengers/Country of origin/destination/Total country of origin/destination (number)";"Commercial air traffic/Passengers/Country of origin/destination/Europe/Europe total (number)";"Commercial air traffic/Passengers/Country of origin/destination/Europe/EU countries (number)";"Commercial air traffic/Passengers/Country of origin/destination/Europe/Other Europe (number)";"Commercial air traffic/Passengers/Country of origin/destination/Intercontinental/Total intercontinental passengers (number)";"Commercial air traffic/Passengers/Country of origin/destination/Intercontinental/Africa/Africa (number)";"Commercial air traffic/Passengers/Country of origin/destination/Intercontinental/Africa/North Africa (number)";"Commercial air traffic/Passengers/Country of origin/destination/Intercontinental/Africa/West Africa (number)";"Commercial air traffic/Passengers/Country of origin/destination/Intercontinental/Africa/Central Africa (number)";"Commercial air traffic/Passengers/Country of origin/destination/Intercontinental/Africa/East Africa (number)";"Commercial air traffic/Passengers/Country of origin/destination/Intercontinental/Africa/South Africa (number)";"Commercial air traffic/Passengers/Country of origin/destination/Intercontinental/America/America (number)";"Commercial air traffic/Passengers/Country of origin/destination/Intercontinental/America/North America (number)";"Commercial air traffic/Passengers/Country of origin/destination/Intercontinental/America/Central America (number)";"Commercial air traffic/Passengers/Country of origin/destination/Intercontinental/America/South America (number)";"Commercial air traffic/Passengers/Country of origin/destination/Intercontinental/Asia/Asia (number)";"Commercial air traffic/Passengers/Country of origin/destination/Intercontinental/Asia/West Asia (number)";"Commercial air traffic/Passengers/Country of origin/destination/Intercontinental/Asia/South-East Asia (number)";"Commercial air traffic/Passengers/Country of origin/destination/Intercontinental/Asia/North-East Asia (number)";"Commercial air traffic/Passengers/Country of origin/destination/Intercontinental/Oceania (number)";"Commercial air traffic/Passengers/Country of origin/destination/Intercontinental/Other/unknown (number)";"Commercial air traffic/Passengers/Country of origin/destination/Unknown (number)"
"Amsterdam Airport Schiphol";"1999 January";"   30391";"     672";"   14816";"   14103";"     713";"   14824";"   14074";"     750";" 1192304";" 1112747";"   79557";" 1180274";" 1104118";"   76156";" 2372578";" 1496494";" 1256091";"  240403";"  876084";"  113309";"   41140";"   26043";"       0";"   22468";"   23658";"  455002";"  334326";"   62282";"   58394";"  298997";"   88737";"  129031";"   81229";"    8776";"       0";"       0"
"Amsterdam Airport Schiphol";"1999 February";"   28302";"     550";"   13760";"   13047";"     713";"   13766";"   13033";"     733";" 1157235";" 1076915";"   80320";" 1175429";" 1087675";"   87754";" 2332664";" 1534949";" 1299095";"  235854";"  797715";"  107207";"   45879";"   20988";"       0";"   20581";"   19759";"  408987";"  301060";"   57645";"   50282";"  274295";"   82654";"  110775";"   80866";"    7226";"       0";"       0"
"Amsterdam Airport Schiphol";"1999 March";"   32595";"     784";"   15745";"   14878";"     867";"   15728";"   14868";"     860";" 1418232";" 1323412";"   94820";" 1407096";" 1309286";"   97810";" 2825328";" 1837844";" 1558660";"  279184";"  987484";"  117193";"   53063";"   22334";"       0";"   20775";"   21021";"  531834";"  418994";"   59761";"   53079";"  330139";"  105905";"  120094";"  104140";"    8318";"       0";"       0"
"Amsterdam Airport Schiphol";"1999 April";"   33069";"     858";"   15999";"   14914";"    1085";"   16014";"   14920";"    1094";" 1430660";" 1316088";"  114572";" 1470818";" 1325753";"  145065";" 2901478";" 1926831";" 1636049";"  290782";"  974647";"  111309";"   51800";"   21994";"      71";"   17873";"   19571";"  524706";"  427737";"   51104";"   45865";"  331128";"  114182";"  109316";"  107630";"    7504";"       0";"       0"
"Amsterdam Airport Schiphol";"1999 May";"   35221";"     732";"   17070";"   15369";"    1701";"   17063";"   15374";"    1689";" 1635931";" 1397979";"  237952";" 1628024";" 1370713";"  257311";" 3263955";" 2231219";" 1881899";"  349320";" 1032736";"  111085";"   50951";"   21314";"       0";"   20057";"   18763";"  588521";"  487429";"   52679";"   48413";"  326257";"  112851";"  105889";"  107517";"    6873";"       0";"       0"
"Amsterdam Airport Schiphol";"1999 June";"   34707";"     828";"   16715";"   15195";"    1520";"   16711";"   15196";"    1515";" 1595150";" 1391589";"  203561";" 1631588";" 1401887";"  229701";" 3226738";" 2179958";" 1819314";"  360644";" 1046780";"  110111";"   44648";"   21736";"       0";"   24634";"   19093";"  614953";"  512995";"   49251";"   52707";"  314288";"  106125";"  101899";"  106264";"    7428";"       0";"       0"
"Amsterdam Airport Schiphol";"1999 July";"   36589";"     832";"   17754";"   15763";"    1991";"   17775";"   15777";"    1998";" 1693176";" 1420736";"  272440";" 1917610";" 1541110";"  376500";" 3610786";" 2420422";" 1974481";"  445941";" 1190364";"  145286";"   68439";"   27096";"       0";"   29206";"   20545";"  670512";"  538704";"   63558";"   68250";"  365967";"  128138";"  116167";"  121662";"    8599";"       0";"       0"
"Amsterdam Airport Schiphol";"1999 August";"   36485";"     678";"   17818";"   15773";"    2045";"   17807";"   15745";"    2062";" 1937342";" 1549037";"  388305";" 1771932";" 1456064";"  315868";" 3709274";" 2461637";" 2003578";"  458059";" 1247637";"  150400";"   71232";"   28745";"       0";"   29125";"   21298";"  692770";"  554157";"   66641";"   71972";"  395456";"  150219";"  123020";"  122217";"    9011";"       0";"       0"
"Amsterdam Airport Schiphol";"1999 September";"   35656";"     726";"   17203";"   15515";"    1688";"   17208";"   15510";"    1698";" 1742014";" 1472698";"  269316";" 1725171";" 1481186";"  243985";" 3467185";" 2340328";" 1964517";"  375811";" 1126857";"  134339";"   60075";"   25833";"       0";"   26909";"   21522";"  634140";"  512282";"   56997";"   64861";"  350160";"  121234";"  111050";"  117876";"    8218";"       0";"       0"
"Amsterdam Airport Schiphol";"1999 October";"   36292";"     620";"   17566";"   15994";"    1572";"   17560";"   15997";"    1563";" 1738734";" 1495431";"  243303";" 1710912";" 1506628";"  204284";" 3449646";" 2300568";" 1918892";"  381676";" 1149078";"  137098";"   64478";"   22941";"       0";"   27628";"   22051";"  628633";"  501679";"   62796";"   64158";"  374954";"  134680";"  122041";"  118233";"    8393";"       0";"       0"
